time,PV Meter,Temperature,Cloud Cover Total,Wind Speed
2022-07-08 09:00:00,252141.04,18.56137,100.0,24.379204
2022-07-08 10:00:00,252196.36,19.06137,100.0,24.606731
2022-07-08 11:00:00,252266.08,20.05137,18.0,30.513052
2022-07-08 12:00:00,252334.96,20.14137,0.0,32.69664
2022-07-08 13:00:00,252398.28,20.73137,0.0,32.489872
2022-07-08 14:00:00,252452.64,21.161371,0.0,33.84766
2022-07-08 15:00:00,252495.36,21.27137,0.0,34.47176
2022-07-08 16:00:00,252523.84,21.19137,0.0,34.03476
2022-07-08 17:00:00,252537.08,20.93137,0.0,33.37338
2022-07-08 18:00:00,252539.92,20.52137,0.0,31.765793
2022-07-08 19:00:00,252540.44,19.93137,0.0,28.99062
2022-07-08 20:00:00,252540.44,18.87137,0.0,28.174458
2022-07-08 21:00:00,252540.44,17.80137,0.0,24.162947
2022-07-08 22:00:00,252540.44,17.39137,100.0,22.862123
2022-07-08 23:00:00,252540.44,16.59137,0.0,18.057508
2022-07-09 00:00:00,252540.44,15.911369,0.0,14.182355
2022-07-09 01:00:00,252540.44,15.441369,0.0,11.440979
2022-07-09 02:00:00,252540.44,15.14137,0.0,9.339208
2022-07-09 03:00:00,252540.44,14.84137,0.0,6.9153743
2022-07-09 04:00:00,252541.12,14.67137,0.0,5.8603754
2022-07-09 05:00:00,252548.64,14.42137,0.0,5.1919937
2022-07-09 06:00:00,252570.88,14.60137,0.0,5.1919937
2022-07-09 07:00:00,252608.76,15.56137,0.0,7.24486
2022-07-09 08:00:00,252659.56,18.081371,0.0,11.841756
2022-07-09 09:00:00,252719.64,20.02137,10.0,18.35647
2022-07-09 10:00:00,252779.48,20.94137,0.0,21.325253
2022-07-09 11:00:00,252849.36,21.72137,0.0,22.545315
2022-07-09 12:00:00,252910.92,22.67137,0.0,21.129885
2022-07-09 13:00:00,252966.8,23.47137,10.0,22.406927
2022-07-09 14:00:00,253016.96,23.401371,0.0,20.991426
2022-07-09 15:00:00,253060.44,23.73137,0.0,21.603
2022-07-09 16:00:00,253087.72,23.93137,0.0,22.127556
2022-07-09 17:00:00,253101.72,23.61137,9.3,22.077717
2022-07-09 18:00:00,253105.0,23.11137,0.0,21.734581
2022-07-09 19:00:00,253105.64,22.26137,0.0,20.288164
2022-07-09 20:00:00,253105.64,21.17137,0.3,16.75064
2022-07-09 21:00:00,253105.64,19.85137,100.0,11.609651
2022-07-09 22:00:00,253105.64,19.37137,100.0,9.19939
2022-07-09 23:00:00,253105.64,18.651371,91.0,9.0
2022-07-10 00:00:00,253105.64,17.85137,100.0,8.39657
2022-07-10 01:00:00,253105.64,17.48137,100.0,4.072935
2022-07-10 02:00:00,253105.64,17.20137,100.0,3.2399998
2022-07-10 03:00:00,253105.64,16.94137,100.0,5.154415
2022-07-10 04:00:00,253105.64,16.60137,100.0,6.792466
2022-07-10 05:00:00,253106.4,15.861369,100.0,6.763786
2022-07-10 06:00:00,253108.0,15.59137,100.0,6.379216
2022-07-10 07:00:00,253112.04,16.54137,100.0,5.6920996
2022-07-10 08:00:00,253152.76,17.47137,5.0,7.5599995
2022-07-10 09:00:00,253193.2,20.02137,0.0,12.783802
2022-07-10 10:00:00,253239.12,20.70137,10.0,17.373497
2022-07-10 11:00:00,253266.16,21.50137,0.0,20.172853
2022-07-10 12:00:00,253305.88,21.96137,0.0,23.770906
2022-07-10 13:00:00,253343.0,22.331371,0.0,26.867676
2022-07-10 14:00:00,253368.24,21.97137,0.0,28.876396
2022-07-10 15:00:00,253401.4,21.69137,0.0,29.5551
2022-07-10 16:00:00,253430.24,21.37137,0.0,29.30409
2022-07-10 17:00:00,253441.24,20.84137,0.0,28.162954
2022-07-10 18:00:00,253446.24,19.93137,0.0,25.630886
2022-07-10 19:00:00,253447.8,19.23137,0.0,21.575987
2022-07-10 20:00:00,253447.8,18.27137,0.0,15.646544
2022-07-10 21:00:00,253447.8,17.00137,0.0,9.9571085
2022-07-10 22:00:00,253447.8,16.17137,0.0,4.452954
2022-07-10 23:00:00,253447.8,15.47137,3.0,0.0
2022-07-11 00:00:00,253447.8,14.661369,0.0,4.3498964
2022-07-11 01:00:00,253447.8,13.80137,0.0,3.9763298
2022-07-11 02:00:00,253447.8,13.06137,0.0,4.6102495
2022-07-11 03:00:00,253447.8,12.401369,1.0,5.1165614
2022-07-11 04:00:00,253448.32,11.97137,9.0,6.28713
2022-07-11 05:00:00,253454.32,11.581369,0.0,6.28713
2022-07-11 06:00:00,253468.6,11.64137,0.0,4.6800003
2022-07-11 07:00:00,253508.16,13.17137,0.0,3.6179552
2022-07-11 08:00:00,253548.48,14.941369,0.0,4.0249224
2022-07-11 09:00:00,253638.64,16.831371,10.0,5.0911684
2022-07-11 10:00:00,253739.68,18.52137,0.0,10.990322
2022-07-11 11:00:00,253800.92,19.19137,10.0,14.336861
2022-07-11 12:00:00,253852.0,20.151371,0.6,18.723461
2022-07-11 13:00:00,253926.32,20.661371,10.0,22.608458
2022-07-11 14:00:00,253971.0,21.53137,10.0,16.563911
2022-07-11 15:00:00,254004.48,22.19137,10.0,14.480773
2022-07-11 16:00:00,254035.84,21.69137,10.0,13.684735
2022-07-11 17:00:00,254060.16,21.741371,100.0,13.397612
2022-07-11 18:00:00,254068.08,21.45137,100.0,14.05845
2022-07-11 19:00:00,254069.56,21.581371,100.0,13.004922
2022-07-11 20:00:00,254069.56,20.52137,18.0,12.387348
2022-07-11 21:00:00,254069.56,18.85137,0.0,8.891344
2022-07-11 22:00:00,254069.56,17.741371,0.0,6.5693827
2022-07-11 23:00:00,254069.56,16.831371,0.0,5.95906
2022-07-12 00:00:00,254069.56,15.76137,0.0,6.3690495
2022-07-12 01:00:00,254069.56,14.871369,0.0,5.991594
